Wed Sep 21 14:56:23 2016 ipInfo|51.174.85.52,,59.9500,10.7500
Tue Sep 27 10:06:45 2016 ipInfo|98.126.59.218,Orange,33.8138,-117.7986
Tue Sep 27 10:06:45 2016 ipInfo|98.126.59.218,Orange,33.8138,-117.7986
Wed Oct 12 11:04:11 2016 ipInfo|185.11.80.131,Kiev,50.4333,30.5167
Wed Oct 12 11:04:11 2016 ipInfo|185.11.80.131,Kiev,50.4333,30.5167
Thu Oct 13 16:17:17 2016 ipInfo|185.11.80.131,Kiev,50.4333,30.5167
Thu Oct 13 16:17:18 2016 ipInfo|185.11.80.131,Kiev,50.4333,30.5167
Thu Oct 13 16:19:45 2016 ipInfo|185.11.80.131,Kiev,50.4333,30.5167
Thu Oct 13 18:47:29 2016 ipInfo|185.11.80.131,Kiev,50.4333,30.5167
Mon Oct 17 08:53:22 2016 ipInfo|83.37.14.108,Villena,38.6373,-0.8657
Mon Oct 17 08:53:23 2016 ipInfo|83.37.14.108,Villena,38.6373,-0.8657
Tue Oct 25 21:24:25 2016 ipInfo|51.175.77.204,Fornebu,59.8995,10.6287
Wed Oct 26 12:18:12 2016 ipInfo|213.52.71.75,Eidsvoll,60.3311,11.2626
Wed Oct 26 12:18:12 2016 ipInfo|213.52.71.75,Eidsvoll,60.3311,11.2626
Wed Oct 26 12:37:52 2016 ipInfo|213.52.71.75,Eidsvoll,60.3311,11.2626
Wed Oct 26 12:39:30 2016 ipInfo|213.52.71.75,Eidsvoll,60.3311,11.2626
Wed Oct 26 15:08:19 2016 ipInfo|213.52.71.75,Eidsvoll,60.3311,11.2626
Wed Oct 26 15:08:19 2016 ipInfo|213.52.71.75,Eidsvoll,60.3311,11.2626
Wed Oct 26 15:26:04 2016 ipInfo|213.52.71.75,Eidsvoll,60.3311,11.2626
Wed Oct 26 16:20:06 2016 ipInfo|213.52.71.75,Eidsvoll,60.3311,11.2626
Fri Nov 11 10:15:46 2016 ipInfo|213.52.71.75,Eidsvoll,60.3311,11.2626
Wed Dec  7 11:53:08 2016 ipInfo|213.52.71.75,Eidsvoll,60.3311,11.2626
Wed Dec  7 11:53:08 2016 ipInfo|213.52.71.75,Eidsvoll,60.3311,11.2626
Wed Dec  7 12:05:13 2016 ipInfo|213.52.71.75,Eidsvoll,60.3311,11.2626
Wed Dec  7 12:05:13 2016 ipInfo|213.52.71.75,Eidsvoll,60.3311,11.2626
Wed Dec  7 15:30:39 2016 ipInfo|213.52.71.75,Eidsvoll,60.3311,11.2626
Wed Dec 14 18:56:39 2016 ipInfo|51.175.77.204,Fornebu,59.8995,10.6287
Wed Dec 14 21:46:27 2016 ipInfo|51.175.77.204,Fornebu,59.8995,10.6287
